ID,KAST,IMPACT,RATING,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps   played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round
slaxz-,71.0%,1.13,1.11,17785,29.5%,15661,1.14,72.6,3.2,933,25269,0.7,0.1,0.62,0.09,0.09
shox,69.5%,1.09,1.07,38675,48.8%,34914,1.11,75.4,3.0,2018,52913,0.73,0.12,0.66,0.08,0.08
smike,67.0%,1.24,1.07,9299,33.1%,8644,1.08,75.6,1.4,480,12461,0.75,0.1,0.69,0.09,0.08
Liazz,73.7%,1.07,1.07,17667,45.9%,15597,1.13,78.3,4.6,978,25217,0.7,0.15,0.62,0.1,0.11
jks,72.1%,1.05,1.07,21807,52.9%,19460,1.12,77.7,5.4,1183,30912,0.71,0.13,0.63,0.09,0.11
autimatic,71.5%,1.12,1.07,22601,44.3%,20356,1.11,79.4,3.9,1166,30439,0.74,0.13,0.67,0.1,0.1
iDISBALANCE,71.8%,1.13,1.13,16525,27.0%,14435,1.14,74.1,2.5,871,23106,0.72,0.1,0.62,0.09,0.09
junior,71.2%,1.07,1.1,8904,29.4%,7642,1.17,70.7,2.2,485,12690,0.7,0.09,0.6,0.08,0.1
meyern,71.2%,1.11,1.11,8207,54.2%,7484,1.1,76.7,3.5,433,11291,0.73,0.11,0.66,0.1,0.13
YEKINDAR,68.7%,1.29,1.14,21871,59.1%,20413,1.07,82.7,3.9,1101,29304,0.75,0.13,0.7,0.09,0.09
Impulse,71.1%,1.11,1.11,14729,35.4%,13147,1.12,75.6,3.6,772,20511,0.72,0.11,0.64,0.1,0.11
NaToSaphiX,72.5%,1.06,1.07,17805,36.8%,15366,1.16,71.9,3.2,948,25338,0.7,0.1,0.61,0.09,0.1
dapr,71.3%,1.16,1.13,11313,44.1%,10311,1.1,80.8,6.4,594,15426,0.73,0.15,0.67,0.1,0.11
ptr,71.4%,1.11,1.07,20902,26.0%,18205,1.15,73.3,3.4,1132,29624,0.71,0.11,0.61,0.09,0.1
nicoodoz,70.8%,1.06,1.1,13844,31.6%,12020,1.15,71.7,3.2,727,19522,0.71,0.08,0.62,0.09,0.1
Rickeh,72.7%,1.13,1.07,17780,37.7%,15403,1.15,77.3,5.2,959,25111,0.71,0.13,0.61,0.08,0.09
hAdji,72.3%,1.11,1.08,22302,49.0%,19994,1.12,80.0,4.1,1152,30382,0.73,0.13,0.66,0.1,0.12
FL1T,72.2%,1.07,1.13,24608,46.8%,21806,1.13,80.3,4.3,1249,33673,0.73,0.13,0.65,0.09,0.11
Ryxxo,71.5%,1.12,1.08,15855,33.1%,13957,1.14,76.1,6.3,841,22116,0.72,0.12,0.63,0.09,0.1
MICHU,70.5%,1.15,1.08,33874,50.7%,30809,1.1,80.2,3.8,1732,45397,0.75,0.13,0.68,0.09,0.1
jayzaR,69.9%,1.21,1.08,10437,36.4%,9487,1.1,79.0,3.5,528,13954,0.75,0.12,0.68,0.09,0.1
Hatz,73.1%,1.14,1.14,17302,50.9%,15301,1.13,77.5,5.1,947,24099,0.72,0.14,0.63,0.1,0.1
Summer,72.8%,1.1,1.08,23807,48.9%,21025,1.13,79.8,5.5,1268,32666,0.73,0.14,0.64,0.09,0.09
exit,74.0%,1.0,1.12,13416,45.1%,11515,1.17,76.8,4.8,739,19050,0.7,0.13,0.6,0.09,0.12
ShahZaM,70.0%,1.16,1.08,18509,34.0%,16451,1.13,74.8,2.4,966,25252,0.73,0.1,0.65,0.09,0.1
draken,70.1%,1.17,1.08,20842,31.0%,18189,1.15,74.6,2.1,1095,28895,0.72,0.1,0.63,0.08,0.08
felps,70.4%,1.26,1.08,19490,43.9%,17889,1.09,84.6,3.5,998,25554,0.76,0.16,0.7,0.1,0.09
sergej,72.3%,1.12,1.13,14855,48.2%,13039,1.14,79.3,4.0,776,20425,0.73,0.14,0.64,0.1,0.11
keev,68.0%,1.21,1.08,11408,29.1%,10191,1.12,73.6,2.8,594,15524,0.73,0.09,0.66,0.08,0.08
Magisk,72.7%,1.12,1.08,26714,47.6%,23482,1.14,79.7,5.8,1411,37134,0.72,0.15,0.63,0.09,0.1
pz,70.7%,1.16,1.12,8138,29.3%,7157,1.14,75.8,5.4,435,11352,0.72,0.12,0.63,0.09,0.09
Machinegun,68.6%,1.19,1.08,8352,50.3%,7676,1.09,81.4,3.2,431,10994,0.76,0.13,0.7,0.08,0.09
Detrony,71.2%,1.17,1.08,7633,34.7%,6771,1.13,77.4,4.4,412,10449,0.73,0.13,0.65,0.1,0.09
DJOXiC,70.6%,1.16,1.08,9002,29.8%,7798,1.15,73.0,2.9,489,12531,0.72,0.1,0.62,0.09,0.1
Attacker,73.1%,1.12,1.08,24187,46.4%,21526,1.12,79.3,2.3,1261,32444,0.75,0.14,0.66,0.11,0.11
Savage,71.2%,1.15,1.08,15647,37.0%,13721,1.14,78.2,5.5,836,21434,0.73,0.13,0.64,0.09,0.09
dupreeh,71.6%,1.13,1.08,37250,50.5%,32885,1.13,77.2,3.2,1953,50862,0.73,0.14,0.65,0.09,0.09
dexter,71.2%,1.19,1.08,19093,48.7%,17154,1.11,80.9,5.2,1003,25827,0.74,0.14,0.66,0.09,0.1
k0nfig,69.7%,1.2,1.08,30996,55.8%,28503,1.09,81.0,2.9,1557,41195,0.75,0.13,0.69,0.09,0.1
JOTA,73.0%,1.14,1.15,8183,41.6%,7194,1.14,82.2,6.2,430,11228,0.73,0.16,0.64,0.09,0.1
fer,71.2%,1.22,1.08,28173,45.0%,25379,1.11,82.9,5.0,1436,37508,0.75,0.15,0.68,0.09,0.08
mezii,73.3%,1.08,1.14,10146,49.7%,8912,1.14,80.3,5.4,519,14054,0.72,0.14,0.63,0.09,0.12
Farlig,70.1%,1.12,1.1,13956,33.5%,12162,1.15,71.8,2.4,726,19370,0.72,0.09,0.63,0.08,0.1
faveN,72.2%,1.13,1.13,26565,54.2%,23485,1.13,78.5,3.3,1348,36024,0.74,0.12,0.65,0.1,0.12
nukkye,71.4%,1.11,1.12,11227,39.2%,9897,1.13,78.3,2.6,592,15492,0.72,0.12,0.64,0.08,0.09
hazr,71.5%,1.19,1.14,14906,56.0%,13597,1.1,81.2,4.4,781,19949,0.75,0.14,0.68,0.11,0.11
valde,72.5%,1.1,1.09,24018,46.8%,21192,1.13,80.0,4.9,1230,32676,0.74,0.13,0.65,0.1,0.1
cynic,73.1%,1.08,1.14,12994,40.2%,11388,1.14,80.6,5.5,676,17560,0.74,0.14,0.65,0.1,0.11
nex,72.2%,1.04,1.09,21063,51.5%,18628,1.13,78.8,4.7,1074,28389,0.74,0.15,0.66,0.1,0.12
floppy,73.2%,1.14,1.15,15806,49.4%,14141,1.12,81.3,3.2,813,21349,0.74,0.14,0.66,0.11,0.14
EliGE,71.2%,1.25,1.09,31916,48.8%,28864,1.11,83.7,4.1,1611,42233,0.76,0.16,0.68,0.1,0.12
dennyslaw,70.9%,1.14,1.12,23081,31.4%,20130,1.15,74.9,2.9,1173,31580,0.73,0.1,0.64,0.08,0.1
hades,70.7%,1.11,1.11,11782,29.8%,10081,1.17,73.9,2.3,602,16157,0.73,0.09,0.62,0.07,0.08
ScreaM,71.1%,1.11,1.09,27501,68.1%,24396,1.13,79.1,3.3,1430,37087,0.74,0.12,0.66,0.1,0.11
ZOREE,70.7%,1.11,1.09,31855,32.3%,27425,1.16,73.7,3.7,1661,44157,0.72,0.1,0.62,0.08,0.1
BL1TZ,69.2%,1.15,1.1,13957,43.0%,12329,1.13,75.2,2.4,732,18819,0.74,0.1,0.66,0.08,0.09
NAF,73.3%,1.1,1.09,30031,41.8%,26002,1.15,81.4,5.8,1572,41281,0.73,0.15,0.63,0.1,0.11
ryx,72.7%,1.11,1.09,9797,36.3%,8616,1.14,83.7,3.6,491,12856,0.76,0.16,0.67,0.09,0.12
zehN,71.6%,1.1,1.09,20665,46.0%,18281,1.13,80.3,7.7,1073,28305,0.73,0.14,0.65,0.08,0.09
Sonic,72.4%,1.14,1.09,17758,46.6%,15541,1.14,78.5,4.3,940,24238,0.73,0.13,0.64,0.11,0.12
gas,69.2%,1.18,1.12,9294,60.1%,8558,1.09,82.3,2.3,457,11946,0.78,0.12,0.72,0.09,0.12
Calyx,72.6%,1.08,1.09,21198,57.0%,18350,1.16,77.4,3.6,1113,29124,0.73,0.12,0.63,0.09,0.1
Cooper,71.2%,1.13,1.12,14703,32.4%,12697,1.16,74.0,2.2,771,19991,0.74,0.09,0.64,0.09,0.1
lollipop21k,72.1%,1.12,1.14,23585,49.2%,21089,1.12,82.0,3.7,1172,31354,0.75,0.13,0.67,0.09,0.1
biguzera,73.2%,1.14,1.16,12001,51.2%,10404,1.15,80.6,5.4,622,16530,0.73,0.15,0.63,0.1,0.11
JUGi,72.0%,1.13,1.09,17527,27.8%,14851,1.18,74.1,2.4,940,24427,0.72,0.1,0.61,0.08,0.1
GeT_RiGhT,68.9%,1.03,1.09,33271,49.3%,28973,1.15,76.6,4.4,1745,45030,0.74,0.15,0.64,0.09,0.08
PwnAlone,71.8%,1.17,1.14,17266,31.7%,15016,1.15,76.1,3.4,911,23740,0.73,0.12,0.63,0.1,0.1
syrsoN,70.0%,1.2,1.09,33692,29.4%,29045,1.16,74.3,2.5,1735,46095,0.73,0.1,0.63,0.08,0.09
Spinx,71.0%,1.12,1.13,8661,56.2%,7619,1.14,78.7,3.4,442,11732,0.74,0.11,0.65,0.08,0.1
electroNic,71.8%,1.19,1.09,25776,50.4%,22679,1.14,83.0,4.6,1311,34571,0.75,0.14,0.66,0.09,0.1
allu,69.9%,1.12,1.09,31366,28.6%,27037,1.16,74.9,3.6,1615,42334,0.74,0.11,0.64,0.08,0.09
mixwell,71.2%,1.22,1.09,16275,38.1%,14364,1.13,79.5,5.7,840,21804,0.75,0.13,0.66,0.1,0.1
xccurate,71.1%,1.14,1.09,13334,31.2%,11610,1.15,74.2,1.9,698,18113,0.74,0.1,0.64,0.1,0.1
moose,71.5%,1.12,1.14,14503,44.1%,12528,1.16,79.2,2.0,752,19559,0.74,0.12,0.64,0.08,0.09
aliStair,71.3%,1.21,1.14,19564,35.1%,16750,1.17,76.0,3.4,1057,26844,0.73,0.12,0.62,0.09,0.09
nython,71.5%,1.16,1.14,10480,37.6%,9064,1.16,76.7,2.3,524,13953,0.75,0.11,0.65,0.09,0.1
Ax1Le,72.4%,1.15,1.16,18478,48.6%,15914,1.16,80.4,5.2,957,25369,0.73,0.14,0.63,0.09,0.09
ekul,68.6%,1.28,1.14,8895,36.6%,7909,1.12,80.0,2.9,452,11703,0.76,0.11,0.68,0.08,0.09
HEN1,73.0%,1.09,1.1,20188,28.8%,16640,1.21,74.8,3.8,1101,28598,0.71,0.12,0.58,0.08,0.09
swag,72.9%,1.09,1.1,10527,49.5%,8898,1.18,77.6,4.7,556,14447,0.73,0.14,0.62,0.08,0.09
mir,71.8%,1.19,1.1,20023,52.1%,17389,1.15,81.3,4.9,1009,26433,0.76,0.13,0.66,0.1,0.12
WARDELL,70.9%,1.19,1.13,11627,27.2%,9979,1.17,74.2,2.1,609,15901,0.73,0.1,0.63,0.09,0.1
mertz,70.4%,1.22,1.1,19077,32.5%,16483,1.16,77.4,2.4,955,25333,0.75,0.1,0.65,0.1,0.1
dumau,72.8%,1.14,1.16,9294,41.6%,7852,1.18,80.2,4.7,473,12553,0.74,0.13,0.63,0.08,0.11
poizon,70.6%,1.2,1.14,21485,33.6%,18630,1.15,78.0,3.8,1101,29160,0.74,0.12,0.64,0.09,0.1
nawwk,71.7%,1.09,1.12,17474,35.3%,14656,1.19,73.4,2.8,891,23778,0.73,0.09,0.62,0.09,0.11
h4rn,72.2%,1.12,1.14,10863,28.6%,9076,1.2,74.1,3.3,563,15021,0.72,0.1,0.6,0.09,0.09
Olivia,70.6%,1.19,1.13,12279,37.0%,10714,1.15,78.5,2.4,634,16189,0.76,0.11,0.66,0.08,0.09
f0rest,70.5%,1.07,1.1,40979,51.9%,35331,1.16,76.3,3.7,2089,54327,0.75,0.12,0.65,0.09,0.1
CeRq,72.2%,1.16,1.14,22812,27.9%,19387,1.18,74.2,2.4,1199,31114,0.73,0.1,0.62,0.1,0.11
Infinite,72.7%,1.18,1.16,16071,50.8%,14047,1.14,81.2,4.9,827,21545,0.75,0.14,0.65,0.1,0.11
TenZ,71.5%,1.21,1.15,7931,51.3%,7092,1.12,82.4,3.2,401,10399,0.76,0.14,0.68,0.1,0.12
Brehze,71.9%,1.15,1.1,23029,52.4%,20248,1.14,80.5,2.5,1164,30296,0.76,0.12,0.67,0.1,0.12
NEOFRAG,71.5%,1.25,1.18,13707,49.0%,12172,1.13,86.2,8.5,676,18080,0.76,0.16,0.67,0.09,0.12
FREDDyFROG,73.4%,1.13,1.11,23743,40.3%,20127,1.18,80.4,3.9,1207,32156,0.74,0.14,0.63,0.09,0.11
dgt,73.8%,1.07,1.15,8165,49.3%,6806,1.2,77.8,3.5,419,11095,0.74,0.12,0.61,0.09,0.12
ottoNd,71.5%,1.17,1.15,16712,26.9%,14070,1.19,76.2,3.3,855,22591,0.74,0.1,0.62,0.09,0.11
oSee,73.1%,1.14,1.15,21253,31.7%,17852,1.19,76.6,2.9,1100,28597,0.74,0.11,0.62,0.11,0.12
zorte,72.3%,1.15,1.15,14514,36.6%,12069,1.2,74.3,2.7,746,19920,0.73,0.09,0.61,0.09,0.11
GuardiaN,69.8%,1.09,1.11,30535,29.6%,25774,1.18,71.8,2.8,1578,41357,0.74,0.11,0.62,0.08,0.09
splashske,70.2%,1.25,1.11,14145,38.4%,12334,1.15,78.5,3.5,722,18651,0.76,0.11,0.66,0.09,0.09
Twistzz,73.8%,1.08,1.11,26662,62.3%,22655,1.18,76.9,3.4,1387,36436,0.73,0.11,0.62,0.1,0.12
xsepower,71.2%,1.19,1.15,24421,24.9%,19784,1.23,72.5,2.2,1264,33946,0.72,0.08,0.58,0.07,0.08
PTC,71.2%,1.19,1.14,9304,36.1%,7896,1.18,76.9,2.0,476,12393,0.75,0.1,0.64,0.08,0.09
dream3r,73.2%,1.05,1.11,24903,49.7%,20679,1.2,77.0,3.2,1283,33620,0.74,0.12,0.62,0.08,0.11
wrath,72.2%,1.21,1.12,10634,50.1%,9395,1.13,83.9,3.5,525,13568,0.78,0.14,0.69,0.11,0.14
Jamppi,69.8%,1.28,1.15,10302,31.8%,8894,1.16,78.2,2.8,503,13449,0.77,0.1,0.66,0.08,0.09
ropz,72.5%,1.1,1.15,22358,51.7%,18583,1.2,78.6,2.4,1142,30212,0.74,0.11,0.62,0.07,0.09
kNgV-,70.1%,1.22,1.12,16548,32.7%,14142,1.17,78.5,2.1,827,21606,0.77,0.1,0.65,0.08,0.09
INS,72.2%,1.25,1.19,18179,42.5%,15568,1.17,85.6,8.5,946,23988,0.76,0.17,0.65,0.1,0.09
liTTle,71.4%,1.22,1.12,9317,27.7%,7766,1.2,78.5,2.6,457,12154,0.77,0.1,0.64,0.07,0.09
woxic,71.4%,1.17,1.12,22815,32.1%,18947,1.2,76.4,2.4,1178,30952,0.74,0.11,0.61,0.08,0.1
yuurih,73.2%,1.15,1.18,20149,44.3%,16995,1.19,84.2,5.0,1022,26677,0.76,0.15,0.64,0.09,0.11
chelleos,69.5%,1.39,1.2,11270,32.0%,9818,1.15,84.2,4.1,560,14454,0.78,0.13,0.68,0.1,0.09
vsm,71.7%,1.25,1.18,10883,47.0%,9398,1.16,83.6,3.1,533,14130,0.77,0.13,0.67,0.09,0.1
erkaSt,72.2%,1.2,1.18,17206,50.2%,14702,1.17,83.4,5.0,859,22286,0.77,0.15,0.66,0.09,0.09
frozen,72.8%,1.18,1.12,24084,54.6%,20524,1.17,82.9,5.1,1215,31789,0.76,0.13,0.65,0.09,0.11
huNter-,72.1%,1.23,1.12,30144,49.4%,25923,1.16,84.8,5.5,1474,38947,0.77,0.14,0.67,0.1,0.11
mantuu,72.8%,1.16,1.16,13904,35.7%,11530,1.21,76.7,3.4,696,18646,0.75,0.11,0.62,0.09,0.12
Freeman,72.9%,1.16,1.16,14822,49.1%,12566,1.18,80.6,2.9,764,19509,0.76,0.13,0.64,0.09,0.11
mhL,70.9%,1.22,1.17,10132,28.5%,8416,1.2,79.9,3.8,493,13259,0.76,0.12,0.63,0.1,0.11
kennyS,70.7%,1.12,1.13,37067,31.2%,30736,1.21,74.7,3.4,1852,48898,0.76,0.11,0.63,0.09,0.11
El1an,70.5%,1.22,1.17,26017,27.1%,21233,1.23,78.2,2.7,1298,34613,0.75,0.11,0.61,0.07,0.08
oskar,70.4%,1.21,1.13,29371,30.5%,24509,1.2,78.2,3.4,1460,38504,0.76,0.1,0.64,0.07,0.08
XELLOW,70.8%,1.26,1.13,22423,40.4%,19052,1.18,80.0,1.8,1097,28850,0.78,0.11,0.66,0.09,0.11
Jame,73.8%,1.12,1.17,22608,25.2%,17316,1.31,73.0,3.9,1189,31521,0.72,0.09,0.55,0.07,0.09
Texta,73.3%,1.29,1.21,12510,40.3%,10760,1.16,87.1,3.6,625,15713,0.8,0.18,0.68,0.1,0.13
Benkai,71.7%,1.25,1.14,12164,46.7%,10118,1.2,85.4,4.2,603,15560,0.78,0.14,0.65,0.07,0.1
KSCERATO,75.0%,1.09,1.18,17821,49.4%,14059,1.27,79.2,5.4,930,24208,0.74,0.13,0.58,0.08,0.1
Sico,74.0%,1.17,1.15,17188,35.4%,13437,1.28,79.1,6.9,902,22858,0.75,0.14,0.59,0.09,0.1
coldzera,73.4%,1.09,1.15,28576,49.4%,22946,1.25,79.2,2.4,1426,37264,0.77,0.11,0.62,0.08,0.1
sh1ro,76.3%,1.21,1.26,18091,27.8%,12492,1.45,78.6,3.9,884,23451,0.77,0.11,0.53,0.08,0.11
s1mple,74.2%,1.37,1.25,35354,41.3%,26279,1.35,86.5,2.4,1564,41283,0.86,0.1,0.64,0.08,0.11
