ID,KAST,IMPACT,RATING,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps   played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round
aizy,69.7%,1.05,1.03,28807,50.4%,27637,1.04,75.6,4.3,1564,41206,0.7,0.14,0.67,0.1,0.1
chawzyyy,71.2%,1.06,1.07,7337,40.1%,6907,1.06,74.6,4.2,402,10745,0.68,0.13,0.64,0.09,0.09
shuadapai,72.4%,1.03,1.08,9880,52.4%,9388,1.05,76.0,3.5,549,14214,0.7,0.14,0.66,0.11,0.11
imoRR,68.7%,1.26,1.1,12578,50.9%,12425,1.01,79.9,4.4,650,17397,0.72,0.13,0.71,0.1,0.09
stfN,71.6%,1.05,1.03,24939,46.5%,23516,1.06,75.7,4.0,1355,35985,0.69,0.14,0.65,0.1,0.12
F1KU,69.4%,1.09,1.07,11580,54.7%,11225,1.03,77.9,5.1,608,16549,0.7,0.13,0.68,0.09,0.09
juho,68.2%,1.18,1.03,14727,46.0%,14535,1.01,78.7,2.4,769,20213,0.73,0.14,0.72,0.1,0.09
kressy,71.8%,1.01,1.07,20337,47.9%,19172,1.06,75.6,3.8,1102,29508,0.69,0.13,0.65,0.1,0.1
rain,69.9%,1.16,1.03,30450,56.0%,29593,1.03,79.9,3.6,1620,42867,0.71,0.15,0.69,0.1,0.09
JonY BoY,68.3%,1.15,1.03,7625,34.6%,7272,1.05,75.0,3.7,425,10919,0.7,0.11,0.67,0.09,0.09
RCF,69.8%,1.16,1.09,12100,43.2%,11539,1.05,75.1,2.9,649,17027,0.71,0.11,0.68,0.1,0.1
cxzi,68.8%,1.19,1.1,8492,37.0%,8363,1.02,81.1,5.1,450,11664,0.73,0.14,0.72,0.1,0.08
Thomas,72.8%,1.1,1.12,17959,41.5%,17065,1.05,81.1,5.4,948,25198,0.71,0.17,0.68,0.11,0.11
captainMo,70.0%,1.09,1.03,14956,40.2%,14339,1.04,74.2,2.5,814,20980,0.71,0.12,0.68,0.1,0.1
Maden,68.5%,1.17,1.08,13472,50.9%,13101,1.03,79.5,5.3,699,18623,0.72,0.14,0.7,0.09,0.1
AiyvaN,69.6%,1.11,1.03,12635,37.8%,12043,1.05,74.2,3.2,694,18045,0.7,0.11,0.67,0.1,0.1
DEV7L,69.9%,1.04,1.03,9988,34.2%,9406,1.06,72.4,2.7,549,14256,0.7,0.1,0.66,0.09,0.1
znajder,69.9%,1.05,1.03,19778,47.9%,18708,1.06,76.8,4.3,1050,27577,0.72,0.15,0.68,0.1,0.1
Relaxa,71.5%,1.04,1.03,21475,30.2%,19530,1.1,72.5,4.3,1203,32043,0.67,0.12,0.61,0.09,0.09
Patsi,69.5%,1.15,1.09,9880,44.8%,9564,1.03,79.1,3.8,516,13868,0.71,0.13,0.69,0.11,0.1
yam,70.1%,1.15,1.03,9755,34.6%,9105,1.07,74.5,4.9,547,14003,0.7,0.13,0.65,0.09,0.09
Kntz,72.1%,0.98,1.07,9469,47.2%,8843,1.07,75.4,2.7,521,13442,0.7,0.12,0.66,0.1,0.11
alex,71.3%,1.07,1.03,24134,45.7%,22632,1.07,76.5,4.5,1310,34682,0.7,0.14,0.65,0.09,0.11
max,71.5%,1.1,1.11,10311,45.8%,9694,1.06,79.0,4.2,554,14682,0.7,0.14,0.66,0.1,0.1
Lucky,71.5%,1.05,1.09,22450,41.4%,20955,1.07,76.9,6.4,1221,32621,0.69,0.14,0.64,0.1,0.1
TRAVIS,71.1%,1.14,1.11,9492,54.6%,9060,1.05,78.8,4.3,508,13542,0.7,0.14,0.67,0.1,0.08
USTILO,70.8%,1.12,1.03,20945,46.0%,20013,1.05,77.5,3.2,1150,29731,0.7,0.14,0.67,0.1,0.1
Subroza,69.3%,1.19,1.1,11748,48.4%,11373,1.03,80.7,5.2,623,16275,0.72,0.15,0.7,0.09,0.09
NK4Y,70.8%,1.03,1.07,8697,62.1%,8268,1.05,76.3,3.6,480,12325,0.71,0.14,0.67,0.1,0.11
land1n,70.5%,1.06,1.03,13469,31.1%,12296,1.1,69.6,2.3,767,20063,0.67,0.11,0.61,0.08,0.09
sjuush,72.3%,1.04,1.09,14978,52.4%,13998,1.07,75.8,3.9,825,21810,0.69,0.13,0.64,0.1,0.11
